date,open,high,low,close
2007-05-10,3.817,4.0039,3.8382,3.863
2007-05-11,4.0163,3.9014,3.9764,4.0243
2007-05-14,3.9091,3.9498,4.0127,3.9496
2007-05-15,4.0437,4.1194,3.837,3.98
2007-05-16,3.89,4.0726,3.8478,3.8852
2007-05-17,3.9631,4.0688,3.9057,3.9615
2007-05-18,4.0237,4.1198,4.1111,3.9898
2007-05-21,4.0228,4.1354,4.0889,4.1436
2007-05-22,4.0189,4.1631,4.1212,4.233
2007-05-23,4.1782,4.1081,4.1282,4.2186
2007-05-24,4.0633,4.1528,3.9425,4.094
2007-05-25,4.1532,4.1253,4.0822,4.1573
2007-05-29,4.0953,4.1024,4.1599,4.2829
2007-05-30,4.1908,4.3276,4.1107,4.2481
2007-05-31,4.2851,4.4501,4.3321,4.4522
2007-06-01,4.3609,4.4806,4.3411,4.3528
2007-06-04,4.324,4.4938,4.3798,4.4333
2007-06-05,4.5352,4.4258,4.4511,4.5864
2007-06-06,4.5261,4.4419,4.4813,4.5344
2007-06-07,4.6294,4.5616,4.5738,4.644
2007-06-08,4.6396,4.5731,4.5253,4.6204
2007-06-11,4.6084,4.6965,4.4594,4.3736
2007-06-12,4.2953,4.4101,4.2259,4.3841
2007-06-13,4.4711,4.4415,4.2081,4.3065
2007-06-14,4.372,4.2725,4.3543,4.4159
2007-06-15,4.3366,4.3456,4.2922,4.35
2007-06-18,4.3617,4.6523,4.5565,4.567
2007-06-19,4.4766,4.5477,4.5906,4.4615
2007-06-20,4.4346,4.6132,4.5396,4.5334
2007-06-21,4.4251,4.6281,4.5105,4.541
2007-06-22,4.5388,4.5541,4.4005,4.5671
2007-06-25,4.5807,4.5216,4.3297,4.3924
2007-06-26,4.5242,4.5985,4.4,4.428
2007-06-27,4.3866,4.3885,4.4269,4.5191
2007-06-28,4.4319,4.5181,4.3068,4.4258
2007-06-29,4.3501,4.5479,4.4231,4.5605
2007-07-02,4.4398,4.556,4.313,4.3977
2007-07-03,4.5555,4.64,4.5287,4.7595
2007-07-05,4.6432,4.8028,4.7054,4.9218
2007-07-06,4.7668,4.9948,4.7612,4.886
2007-07-09,4.8443,4.9309,4.6744,4.6994
2007-07-10,4.6949,4.9014,4.7731,4.8454
2007-07-11,4.8581,4.917,4.8442,4.8527
2007-07-12,4.8197,4.8495,4.7711,4.856
2007-07-13,4.9741,4.9835,4.9776,5.0944
2007-07-16,5.1325,5.04,4.9895,4.9835
2007-07-17,5.0492,5.0407,5.097,5.0743
2007-07-18,5.1276,4.9606,4.9385,5.1795
2007-07-19,5.0016,5.2588,5.0115,5
2007-07-20,5.2093,5.2651,5,5.2208
2007-07-23,5.1751,5.2377,5.0375,5.1863
2007-07-24,5.1292,5.1041,4.9952,4.8546
2007-07-25,5.09,4.9712,4.932,4.9655
2007-07-26,5.5445,5.3099,5.1053,5.3816
2007-07-27,5.293,5.3235,5.172,5.3469
2007-07-30,5.2224,5.2068,5.194,5.1674
2007-07-31,5.1579,5.3052,4.6982,4.9273
2007-08-01,4.7685,5.062,4.7713,5.0184
2007-08-02,5.1145,4.9186,4.8319,4.9112
2007-08-03,5.0368,4.9229,4.9056,4.7254
2007-08-06,4.9148,4.9643,4.6768,4.9816
2007-08-07,4.945,4.9767,4.8075,4.9625
2007-08-08,5.0897,5.0371,4.755,5.0109
2007-08-09,4.8522,4.92,4.4795,4.5644
2007-08-10,4.4538,4.5731,4.5082,4.579
2007-08-13,4.7,4.664,4.7239,4.6168
2007-08-14,4.6866,4.653,4.5674,4.602
2007-08-15,4.3873,4.6339,4.3494,4.2859
2007-08-16,4.2158,4.4174,3.9879,4.3364
2007-08-17,4.28,4.5225,4.3356,4.4814
2007-08-20,4.5065,4.5739,4.4259,4.543
2007-08-21,4.4579,4.6243,4.3822,4.6068
2007-08-22,4.8612,4.9411,4.696,4.9048
2007-08-23,4.851,4.8485,4.6983,4.7258
2007-08-24,4.8176,4.933,4.847,5.0676
2007-08-27,4.8709,4.9663,4.9299,4.7488
2007-08-28,4.761,4.84,4.5303,4.6351
2007-08-29,4.5816,4.9202,4.8099,4.9857
2007-08-30,4.8161,4.9555,4.946,4.9744
2007-08-31,5.0956,5.0838,5.0333,5
2007-09-04,5.1118,5.3289,5.0657,5.2508
2007-09-05,5.3795,5.3776,4.8981,4.9116
2007-09-06,5.004,5.0063,4.8436,5.0529
2007-09-07,5.014,4.822,4.6717,4.9361
2007-09-10,4.9093,5.14,4.7888,5.0527
2007-09-11,5.0848,5.1039,4.8205,5.0316
2007-09-12,5.0402,5.0724,4.9173,4.9201
2007-09-13,5.112,5.1983,5.055,5.1
2007-09-14,5.0671,5.074,4.9926,5.0749
2007-09-17,5.0533,5.1641,5.0245,4.974
2007-09-18,5.0824,5.3005,5.0557,5.26
2007-09-19,5.1117,5.1318,4.9797,5.1108
2007-09-20,5.2074,5.2432,5.1455,5.2089
2007-09-21,5.0894,5.1678,5.2466,5.3235
2007-09-24,5.4171,5.4697,5.4945,5.5383
2007-09-25,5.288,5.5155,5.2899,5.4858
2007-09-26,5.5465,5.7517,5.4457,5.4899
2007-09-27,5.7492,5.7594,5.62,5.7456
2007-09-28,5.6149,5.6463,5.4917,5.6821
2007-10-01,5.529,5.6481,5.6995,5.7804
2007-10-02,5.7457,5.7854,5.6735,5.8227
2007-10-03,5.72,5.845,5.6831,5.77
2007-10-04,5.8759,5.8387,5.691,5.66
2007-10-05,5.8001,5.7779,5.874,6.0368
2007-10-08,5.9849,6.0035,6.0257,6.1774
2007-10-09,6.1081,6.2815,5.9557,6.251
2007-10-10,6.0562,6.0804,5.9959,6.0375
2007-10-11,6.233,6.1869,5.6633,5.8779
2007-10-12,5.9175,6.1292,5.9778,6.0345
2007-10-15,6.1323,6.3426,5.966,6.1751
2007-10-16,5.9259,6.3332,6.0129,6.0625
2007-10-17,6.264,6.44,6.3053,6.4171
2007-10-18,6.301,6.3017,6.167,6.2052
2007-10-19,6.449,6.2419,6.1463,6.3676
2007-10-22,6.1218,6.5503,6.11,6.4752
2007-10-23,7.0182,6.9104,6.7037,6.8141
2007-10-24,6.8183,6.8082,6.6725,6.9642
2007-10-25,6.819,6.7505,6.7328,6.598
2007-10-26,6.7864,6.7104,6.8134,6.6485
2007-10-29,6.6874,6.9961,6.7619,6.8334
2007-10-30,6.7257,6.9031,6.6784,6.7412
2007-10-31,6.9863,6.91,6.7786,6.8548
2007-11-01,6.7921,7.0391,6.4328,6.7402
2007-11-02,6.8544,6.811,6.6077,6.8214
2007-11-05,6.7744,6.8551,6.62,6.8941
2007-11-06,7.0478,6.8632,6.8322,7.0032
2007-11-07,7.0768,7.0919,6.8866,6.8005
2007-11-08,6.9668,6.932,6.0539,6.4034
2007-11-09,6.3654,6.5262,6.0985,6.1343
2007-11-12,6.1542,6.2512,5.6367,5.6077
2007-11-13,5.8336,6.2161,5.7556,6.13
2007-11-14,6.4495,6.4097,5.9505,6.0666
2007-11-15,5.9867,6.2507,5.968,6.0256
2007-11-16,6.0626,5.986,5.7344,6.2076
2007-11-19,5.9972,6.0646,6.0127,6.1398
2007-11-20,6.0586,6.3033,6.0547,6.2946
2007-11-21,5.9132,6.1691,6.0881,6.0221
2007-11-22,5.9407,6.223,6.1675,6.1291
2007-11-23,6.3626,6.4384,6.1788,6.1955
2007-11-26,6.22,6.5177,6.2553,6.2633
2007-11-27,6.4695,6.5111,6.1759,6.4208
2007-11-28,6.4355,6.45,6.3107,6.6285
2007-11-29,6.6186,6.7473,6.6367,6.8169
2007-11-30,6.6993,7.0384,6.651,6.5642
2007-12-03,6.673,6.79,6.4433,6.5517
2007-12-04,6.4254,6.6919,6.6179,6.425
2007-12-05,6.5709,6.8407,6.6776,6.689
2007-12-06,6.9245,6.8924,6.9521,7.095
2007-12-07,6.8345,6.7988,6.9203,6.809
2007-12-10,6.9396,7.3023,7.0732,6.9659
2007-12-11,7.1602,7.1926,6.9843,7.005
2007-12-12,7.1203,6.9701,6.764,6.8511
2007-12-13,6.8334,7.0165,6.823,7.0869
2007-12-14,7.0294,7.2642,6.871,6.9886
2007-12-17,7.1388,7.0825,6.721,6.7956
2007-12-18,6.6922,6.8366,6.4961,6.775
2007-12-19,6.6076,6.855,6.4669,6.86
2007-12-20,6.7781,6.9396,6.5639,7.0187
2007-12-21,7.0115,7.1797,6.9908,7.0546
2007-12-24,7.131,7.2981,7.0978,7.1
2007-12-26,7.232,7.4281,7.2558,7.2297
2007-12-27,7.2969,7.4979,7.2405,7.2943
2007-12-28,7.405,7.5138,7.2139,7.2998
2007-12-31,7.3968,7.3231,7.1059,7.3897
2008-01-02,7.387,7.3312,6.9816,7.07
2008-01-03,7.2,7.1796,7.0838,7.0798
2008-01-04,7.0675,7.1206,6.4482,6.6059
2008-01-07,6.5345,6.5645,6.0962,6.4442
2008-01-08,6.6522,6.57,6.3,6.3839
2008-01-09,6.24,6.4337,6.2935,6.4531
2008-01-10,6.3582,6.6769,6.4346,6.6177
2008-01-11,6.3359,6.6065,6.3388,6.2435
2008-01-14,6.4405,6.49,6.4633,6.479
2008-01-15,6.59,6.6833,6.1644,6.1278
2008-01-16,5.9812,6.3187,5.7607,5.8245
2008-01-17,5.783,6.1148,5.7101,5.869
2008-01-18,5.9496,5.9888,5.968,5.7927
2008-01-22,5.3284,5.9175,5.4378,5.7822
2008-01-23,5.0295,5,4.598,5.199
2008-01-24,5,5.079,4.9,4.9648
2008-01-25,5.0086,5.2046,4.6379,4.8004
2008-01-28,4.6968,4.7812,4.5346,4.6536
2008-01-29,4.8179,4.8476,4.7876,4.8474
2008-01-30,4.7082,4.8871,4.8281,4.9231
2008-01-31,4.7826,4.9971,4.7506,5.0131
2008-02-01,4.8965,5.1155,4.7304,4.8677
2008-02-04,4.8194,4.9461,4.9006,4.896
2008-02-05,4.7704,4.9587,4.7654,4.69
2008-02-06,4.7126,4.8808,4.374,4.537
2008-02-07,4.4716,4.4913,4.2753,4.48
2008-02-08,4.45,4.6502,4.4875,4.6936
2008-02-11,4.7593,4.7588,4.7316,4.6981
2008-02-12,4.8845,4.7178,4.417,4.616
2008-02-13,4.7022,4.691,4.5937,4.8507
2008-02-14,4.8383,4.7591,4.5894,4.6791
2008-02-15,4.6491,4.7636,4.4934,4.6163
2008-02-19,4.5309,4.7431,4.5148,4.5049
2008-02-20,4.532,4.64,4.5299,4.582
2008-02-21,4.655,4.6036,4.4404,4.3956
2008-02-22,4.4939,4.5687,4.3193,4.3748
2008-02-25,4.5187,4.5574,4.2533,4.3041
2008-02-26,4.3113,4.502,4.2994,4.3056
2008-02-27,4.3002,4.4504,4.3465,4.4897
2008-02-28,4.6216,4.9423,4.7012,4.6446
2008-02-29,4.6876,4.7072,4.5538,4.565
2008-03-03,4.4696,4.6346,4.2227,4.4316
2008-03-04,4.571,4.63,4.5,4.5829
2008-03-05,4.441,4.5107,4.4388,4.6543
2008-03-06,4.6598,4.7367,4.4491,4.3842
2008-03-07,4.5008,4.5239,4.2928,4.3754
2008-03-10,4.494,4.4124,4.4318,4.4718
2008-03-11,4.4543,4.7013,4.4266,4.5759
2008-03-12,4.6307,4.8204,4.4869,4.6882
2008-03-13,4.4887,4.854,4.5232,4.6293
2008-03-14,4.6604,4.7711,4.4404,4.7204
2008-03-17,4.5496,4.6059,4.4408,4.555
2008-03-18,4.7753,4.8054,4.7198,4.8457
2008-03-19,4.7648,4.9096,4.688,4.636
2008-03-20,4.8,4.7944,4.8388,4.9897
2008-03-24,4.8733,5.2493,4.8329,5.1412
2008-03-25,5.0606,5.1682,5.0032,5.044
2008-03-26,5.0891,5.423,5.2567,5.4278
2008-03-27,5.1816,5.3308,5.2411,5.1192
2008-03-28,5.315,5.1781,5.1507,5.1524
2008-03-31,5.3132,5.2163,5.29,5.295
2008-04-01,5.329,5.517,5.2678,5.4314
2008-04-02,5.4999,5.4,5.4033,5.4705
2008-04-03,5.3395,5.6153,5.36,5.5306
2008-04-04,5.4445,5.6097,5.4932,5.598
2008-04-07,5.7536,5.7505,5.6622,5.8318
2008-04-08,5.6979,5.8476,5.64,5.584
2008-04-09,5.6443,5.7507,5.5349,5.4488
2008-04-10,5.524,5.5686,5.4919,5.7569
2008-04-11,5.7125,5.523,5.488,5.5
2008-04-14,5.4862,5.3865,5.2659,5.4264
2008-04-15,5.4878,5.6064,5.3983,5.4361
2008-04-16,5.5,5.5288,5.59,5.7413
2008-04-17,5.6778,5.5913,5.5914,5.688
2008-04-18,5.69,5.84,5.684,5.9768
2008-04-21,6.0778,6.0372,6.0345,6.1686
2008-04-22,6.1513,6,5.7015,5.9351
2008-04-23,5.9991,6.0524,6.0232,6.0167
2008-04-24,6.1687,6.3129,5.9608,6.1811
2008-04-25,6.1673,6.1733,5.9732,6.2993
2008-04-28,6.1057,6.4294,6.0434,6.3832
2008-04-29,6.1288,6.3403,6.1859,6.2983
2008-04-30,6.453,6.6143,6.2401,6.334
2008-05-01,6.5331,6.446,6.281,6.6266
2008-05-02,6.5494,6.5245,6.5222,6.4726
2008-05-05,6.6132,6.7695,6.661,6.9134
2008-05-06,6.6917,6.7734,6.5721,6.9044
2008-05-07,6.7765,6.8828,6.726,6.6054
2008-05-08,6.5954,6.8865,6.6401,6.7694
2008-05-09,6.6349,6.7889,6.5436,6.7279
2008-05-12,6.7711,6.9433,6.5541,6.82
2008-05-13,7.0136,6.8959,6.8816,7.0329
2008-05-14,6.9441,7.1212,6.8824,6.9345
2008-05-15,6.9657,6.834,6.6096,6.8602
2008-05-16,6.8313,6.8295,6.7518,6.8617
2008-05-19,6.9146,6.9617,6.746,6.8838
2008-05-20,6.654,6.8372,6.6173,6.8
2008-05-21,6.6755,6.8091,6.3302,6.5493
2008-05-22,6.5868,6.7891,6.4181,6.5015
2008-05-23,6.6685,6.6151,6.41,6.5579
2008-05-27,6.8481,6.8697,6.5237,6.7461
2008-05-28,6.7015,6.8822,6.5783,6.9252
2008-05-29,6.755,6.8325,6.935,6.8605
2008-05-30,6.7761,7.0953,6.7908,6.9933
2008-06-02,6.8705,6.9111,6.746,6.7013
2008-06-03,6.91,6.842,6.773,6.7092
2008-06-04,6.5972,6.6938,6.6269,6.6678
2008-06-05,6.911,6.82,6.9187,6.7923
2008-06-06,6.7772,6.9133,6.6385,6.81
2008-06-09,6.8984,6.635,6.5128,6.7
2008-06-10,6.4731,6.9615,6.5268,6.9
2008-06-11,6.7716,6.7365,6.6344,6.7613
2008-06-12,6.7573,6.5799,6.3197,6.2213
2008-06-13,6.243,6.41,6.0277,6.4185
2008-06-16,6.2336,6.4756,6.0749,6.5988
2008-06-17,6.4124,6.7424,6.425,6.5341
2008-06-18,6.6924,6.5662,6.569,6.6267
2008-06-19,6.6553,6.6348,6.5574,6.7058
2008-06-20,6.4271,6.5382,6.3,6.5644
2008-06-23,6.3271,6.4964,6.3857,6.3523
2008-06-24,6.373,6.3037,6.1916,6.4422
2008-06-25,6.3813,6.6938,6.29,6.6324
2008-06-26,6.522,6.2769,6.1491,6.0826
2008-06-27,6.0305,6.3963,6.0593,6.3742
2008-06-30,6.252,6.2922,6.0851,6.23
2008-07-01,6.0745,6.5,6.0391,6.3558
2008-07-02,6.4,6.4666,6.1657,6.1413
2008-07-03,6.3182,6.2047,6.0093,6.0849
2008-07-07,6.3429,6.57,6.4278,6.3175
2008-07-08,6.3887,6.5702,6.4511,6.4356
2008-07-09,6.5748,6.6544,6.4984,6.4963
2008-07-10,6.3312,6.3466,6.2806,6.4727
2008-07-11,6.5149,6.4727,6.1787,6.4391
2008-07-14,6.4731,6.5414,6.4378,6.37
2008-07-15,6.3206,6.515,6.0934,6.1186
2008-07-16,6.2507,6.1863,6.3001,6.2128
2008-07-17,6.5224,6.355,6.218,6.2824
2008-07-18,6.1847,6.0875,6.1355,6.0204
2008-07-21,6.2521,5.9844,5.9365,6.0087
2008-07-22,5.5449,5.8275,5.4853,5.8204
2008-07-23,6.1271,6.2489,5.96,6.0783
2008-07-24,6.14,6.1122,5.9131,5.7439
2008-07-25,5.9207,5.9969,5.8703,5.9
2008-07-28,5.9531,5.9186,5.7248,5.6449
2008-07-29,5.742,5.7433,5.5551,5.88
2008-07-30,5.7058,5.9043,5.7194,5.9
2008-07-31,5.7531,5.8587,5.7641,5.713
2008-08-01,5.7874,5.9834,5.7589,5.731
2008-08-04,5.6436,5.69,5.5807,5.4825
2008-08-05,5.7831,5.7889,5.5847,5.8245
2008-08-06,5.9183,6.0749,5.8263,6.0861
2008-08-07,6.0263,6.1113,5.928,6.0614
2008-08-08,5.9093,6.1218,5.9809,6.1923
2008-08-11,6.2159,6.4542,6.204,6.2225
2008-08-12,6.3572,6.7138,6.2047,6.493
2008-08-13,6.5773,6.513,6.4794,6.5795
2008-08-14,6.5172,6.5439,6.6402,6.4778
2008-08-15,6.4293,6.5122,6.3638,6.2935
2008-08-18,6.3471,6.5679,6.2647,6.5405
2008-08-19,6.3553,6.4787,6.2708,6.4789
2008-08-20,6.3935,6.3643,6.4229,6.44
2008-08-21,6.474,6.3341,6.1655,6.4198
2008-08-22,6.2875,6.4523,6.3678,6.4858
2008-08-25,6.3492,6.5802,6.323,6.2263
2008-08-26,6.4479,6.422,6.2634,6.4537
2008-08-27,6.3221,6.3405,6.178,6.4355
2008-08-28,6.5314,6.308,6.3553,6.386
2008-08-29,6.3586,6.4429,6.2379,6.1978
2008-09-02,6.2113,6.2409,6.1398,6.0226
2008-09-03,6.0646,6.2213,6.0823,6.0178
2008-09-04,6.1292,6.0367,5.9606,5.7804
2008-09-05,5.6884,5.9,5.7203,5.7499
2008-09-08,5.995,6.022,5.6552,5.83
2008-09-09,5.7228,5.9373,5.5507,5.6046
2008-09-10,5.5143,5.5982,5.4128,5.5494
2008-09-11,5.5128,5.6076,5.2676,5.5578
2008-09-12,5.5582,5.4414,5.426,5.5298
2008-09-15,5.1597,5.2812,5.0189,5.172
2008-09-16,4.8623,5.0945,4.9195,5.1298
2008-09-17,5.1577,5.1384,4.7421,4.7173
2008-09-18,4.6908,4.8838,4.4,4.9726
2008-09-19,5.2393,5.26,5.0935,5.0715
2008-09-22,5.0236,5.0372,4.7766,4.8313
2008-09-23,4.7029,4.95,4.5641,4.59
2008-09-24,4.66,4.7803,4.6814,4.6317
2008-09-25,4.7521,4.8184,4.77,4.8535
2008-09-26,4.662,4.764,4.487,4.78
2008-09-29,4.4132,4.2987,3.6303,3.8584
2008-09-30,4.0458,4.2728,3.9617,4.2062
2008-10-01,4.1303,4.1011,3.9503,4.0536
2008-10-02,4.008,4.0463,3.6126,3.618
2008-10-03,3.7773,3.9319,3.4858,3.5211
2008-10-06,3.3996,3.5594,3.1887,3.523
2008-10-07,3.591,3.752,3.2291,3.1931
2008-10-08,3.211,3.5317,3.17,3.2878
2008-10-09,3.3709,3.4384,3.1796,3.3081
2008-10-10,3.1935,3.6168,3.1728,3.5864
2008-10-13,3.7576,4.142,3.6326,4.0205
2008-10-14,4.1956,4.2753,3.8171,3.7442
2008-10-15,3.7211,3.9485,3.5827,3.5519
2008-10-16,3.6379,3.8393,3.2904,3.7771
2008-10-17,3.6919,3.6796,3.1121,3.5565
2008-10-20,3.6507,3.7108,3.499,3.6671
2008-10-21,3.4665,3.6316,3.3079,3.2906
2008-10-22,3.605,3.7254,3.4566,3.5962
2008-10-23,3.5244,3.6819,3.4332,3.6117
2008-10-24,3.3203,3.502,3.2633,3.5005
2008-10-27,3.5223,3.6123,3.2863,3.4252
2008-10-28,3.5133,3.6705,3.3091,3.6514
2008-10-29,3.6011,3.9899,3.6412,3.888
2008-10-30,3.9458,4.2066,3.9388,3.9747
2008-10-31,3.9836,4.0183,3.771,3.9638
2008-11-03,3.9354,4.0017,3.797,3.88
2008-11-04,3.9381,4.1587,3.9111,4.0584
2008-11-05,3.9581,4.0108,3.8537,3.7583
2008-11-06,3.7557,3.7319,3.6,3.7088
2008-11-07,3.6872,3.6573,3.5158,3.6227
2008-11-10,3.6075,3.7616,3.539,3.4431
2008-11-11,3.4517,3.5704,3.323,3.4788
2008-11-12,3.4268,3.47,3.3075,3.255
2008-11-13,3.3287,3.497,3.1054,3.6075
2008-11-14,3.4328,3.4468,3.2383,3.2471
2008-11-17,3.2442,3.3641,3.1485,3.1964
2008-11-18,3.3,3.3118,3.1822,3.3093
2008-11-19,3.341,3.3532,3.1404,3.0994
2008-11-20,3.1305,3.1147,2.8766,2.8889
2008-11-21,2.9589,3.1269,2.8509,3.0901
2008-11-24,3.1372,3.5265,3.16,3.468
2008-11-25,3.534,3.4841,3.1642,3.2513
2008-11-26,3.2797,3.5352,3.2894,3.466
2008-11-28,3.4584,3.4812,3.3128,3.417
2008-12-01,3.3591,3.4173,3.2846,3.2221
2008-12-02,3.2987,3.3732,3.1509,3.3958
2008-12-03,3.2232,3.548,3.2739,3.507
2008-12-04,3.38,3.4207,3.2758,3.2711
2008-12-05,3.381,3.458,3.3052,3.3831
2008-12-08,3.4775,3.7,3.5001,3.5914
2008-12-09,3.6664,3.8,3.5051,3.6834
2008-12-10,3.6496,3.7291,3.5409,3.6394
2008-12-11,3.553,3.7268,3.5362,3.4871
2008-12-12,3.4245,3.5793,3.3226,3.5468
2008-12-15,3.5725,3.4921,3.4019,3.3906
2008-12-16,3.4061,3.478,3.4416,3.4732
2008-12-17,3.28,3.4014,3.2715,3.238
2008-12-18,3.2814,3.3027,3.182,3.2385
2008-12-19,3.3079,3.2765,3.2563,3.3604
2008-12-22,3.3582,3.2312,3.1141,3.13
2008-12-23,3.2536,3.209,3.1536,3.129
2008-12-24,3.226,3.0842,3.0925,3.1255
2008-12-26,3.1069,3.1741,3.061,3.211
2008-12-29,3.2114,3.2748,3.0455,3.1363
2008-12-30,3.2047,3.3013,3.1119,3.1757
2008-12-31,3.2217,3.166,3.1516,3.1142
2009-01-02,3.1277,3.3916,3.1786,3.3348
2009-01-05,3.3582,3.503,3.3974,3.5332
2009-01-06,3.5863,3.6217,3.3427,3.4822
2009-01-07,3.3105,3.3764,3.2802,3.4082
2009-01-08,3.2469,3.4898,3.2368,3.4757
2009-01-09,3.3524,3.448,3.2747,3.324
2009-01-12,3.3019,3.2888,3.2335,3.2725
2009-01-13,3.165,3.302,3.0946,3.2785
2009-01-14,3.23,3.1846,3.1154,3.0689
2009-01-15,2.876,3.0564,2.9015,3.0826
2009-01-16,3.0846,3.0929,3.0027,2.9771
2009-01-19,3.1185,3.0207,2.9786,3.0701
2009-01-20,2.9313,3.0557,2.8862,2.8351
2009-01-21,2.9387,3.06,2.9719,2.9854
2009-01-22,3.2983,3.2654,3.069,3.1848
2009-01-23,3.1743,3.3003,3.1893,3.2718
2009-01-26,3.2999,3.3982,3.3061,3.3575
2009-01-27,3.3141,3.3,3.246,3.3147
2009-01-28,3.4084,3.4907,3.4302,3.4569
2009-01-29,3.4182,3.4549,3.3789,3.3879
2009-01-30,3.4691,3.4169,3.2762,3.2226
2009-02-02,3.1815,3.3117,3.212,3.271
2009-02-03,3.3171,3.362,3.2382,3.3209
2009-02-04,3.3764,3.5134,3.45,3.3748
2009-02-05,3.3535,3.6054,3.3724,3.471
2009-02-06,3.4762,3.5744,3.4793,3.6125
